1|Hàm nhiều biến|1
2|Định nghĩa hàm nhiều biến|0
3|Đạo hàm riêng hàm nhiều biến|0
4|Vi phân hàm nhiều biến|0
5|Đạo hàm theo hướng, vector gradient|0
6|Đạo hàm riêng hàm hợp|0
7|Đạo hàm hàm ẩn|0
8|Công thức Taylor.|0
9|Cực trị tự do|0
10|Giá trị lớn nhất, bé nhất trên miền đóng và bị chặn|0
11|Tích phân bội|1
12|Tích phân kép|0
13|Tích phân bội 3|0
14|Tích phân đường|1
15|Tham số hóa đường cong|0
16|Tích phân đường loại 1|0
17|Tích phân đường loại 2|0
18|Tích phân mặt|1
19|Tích phân mặt loại 1|0
20|Tích phân mặt loại 2|0
